time,distance,speed
1.316666,1505.88,1922.8209
1.324999,1521.97,1931.0809
1.333333,1538.13,1939.341
1.341665,1554.36,1947.601
1.350001,1570.6599,1955.861
1.358333,1587.0299,1964.121
1.366667,1603.47,1972.381
1.375,1619.98,1980.641
1.383333,1636.5499,1988.9009
1.391667,1653.19,1997.1609
1.4,1669.8999,2005.4209
1.408333,1686.6799,2013.6809
1.416666,1703.5299,2021.9409
1.424999,1720.45,2030.2009
1.433333,1737.44,2038.4609
1.441666,1754.5,2046.721
1.449999,1771.63,2054.981
1.458333,1788.82,2063.241
1.466665,1806.08,2071.501
1.475001,1823.4099,2079.761
1.483333,1840.8099,2088.021
1.491667,1858.2799,2096.281
1.5,1875.82,2104.541
1.508333,1893.4299,2112.801
1.516667,1911.11,2121.061
1.525,1928.85,2129.321
1.533333,1946.6599,2137.5808
1.541666,1964.5399,2145.8408
1.549999,1982.49,2154.1008
1.558333,2000.51,2162.3608
1.566666,2018.6,2170.6208
1.574999,2036.76,2178.8809
1.583333,2054.99,2187.1409
1.591665,2073.29,2195.401
1.600001,2091.65,2203.661
1.608333,2110.0798,2211.921
1.616667,2128.5798,2220.181
1.625,2147.15,2228.441
1.633333,2165.79,2236.701
1.641667,2184.5,2244.961
1.65,2203.28,2253.221
1.658333,2222.13,2261.481
1.666666,2241.04,2269.741
1.674999,2260.02,2278.001
1.683333,2279.07,2286.261
1.691666,2298.19,2294.521
1.699999,2317.38,2299.981
