time,distance,speed
0,0.14999999,0
0.008333,0.22,21.521
0.016667,0.47,42.861
0.025,0.9,64.011
0.033333,1.5,84.980995
0.041666,2.28,105.770996
0.049999,3.23,126.391
0.058333,4.35,146.83101
0.066666,5.64,167.091
0.074999,7.1,187.181
0.083333,8.73,207.101
0.091665,10.5199995,226.851
0.100001,12.48,246.431
0.108333,14.599999,265.841
0.116667,16.88,285.081
0.125,19.32,304.161
0.133333,21.92,323.081
0.141667,24.68,341.831
0.15,27.599998,360.421
0.158333,30.67,378.851
0.166666,33.899998,397.121
0.174999,37.28,415.241
0.183333,40.809998,433.201
0.191666,44.489998,451.011
0.199999,48.32,468.671
0.208333,52.289997,486.181
0.216665,56.41,503.531
0.225001,60.67,520.74097
0.233333,65.08,537.80096
0.241667,69.63,554.71094
0.25,74.32,571.48096
0.258333,79.15,588.10095
0.266667,84.119995,604.58093
0.283333,94.47,637.121
0.291666,99.85,653.18097
0.299999,105.36,669.10095
0.308333,111,684.891
0.316666,116.78,700.54095
0.324999,122.689995,716.061
0.333333,128.73,731.441
0.341665,134.89,746.691
0.350001,141.18,761.811
0.358333,147.59999,776.80096
0.366667,154.14,791.66095
0.375,160.81,806.40094
0.383333,167.59999,821.011
0.391667,174.51,835.501
0.4,181.54,849.86096
0.408333,188.69,864.10095
0.416666,195.95999,878.22095
0.424999,203.34999,892.21094
0.433333,210.84999,906.08093
0.441666,218.47,919.84094
0.449999,226.2,933.48096
0.458333,234.04999,947.001
0.466665,242.01,960.41095
0.475001,250.08,973.7009
0.483333,258.25998,986.881
0.491667,266.55,999.941
0.5,274.94998,1012.8909
0.508333,283.46,1025.731
0.516667,292.08,1038.4609
0.525,300.8,1051.0809
0.533333,309.63,1063.591
0.541666,318.56,1076.001
0.549999,327.6,1088.3009
0.558333,336.74,1100.491
0.566666,345.97998,1112.5809
0.574999,355.31998,1124.5709
0.583333,364.75998,1136.4509
0.591665,374.3,1148.231
0.600001,383.94,1159.911
0.608333,393.66998,1171.491
0.616667,403.5,1182.971
0.625,413.43,1194.351
0.633333,423.44998,1205.641
0.641667,433.56998,1216.8309
0.65,443.78,1227.9209
0.658333,454.08,1238.9209
0.666666,464.47,1249.8209
0.674999,474.94998,1260.631
0.683333,485.52,1271.351
0.691666,496.18,1281.981
0.699999,506.93,1292.511
0.708333,517.76996,1302.9509
0.716665,528.7,1313.3009
0.725001,539.70996,1323.5709
0.733333,550.81,1333.751
0.741667,561.99,1343.841
0.75,573.26,1353.841
0.758333,584.61,1363.761
0.766667,596.04,1373.591
0.775,607.56,1383.341
0.783333,619.16,1393.011
0.791666,630.83997,1402.4409
0.799999,642.6,1410.7009
0.808333,654.42,1418.9609
0.816666,666.31,1427.221
0.824999,678.26996,1435.481
0.833333,690.3,1443.741
0.841665,702.39996,1452.001
0.850001,714.57,1460.261
0.858333,726.81,1468.521
0.866667,739.12,1476.7809
0.875,751.5,1485.0409
0.883333,763.94,1493.3009
0.891667,776.45,1501.5609
0.9,789.02997,1509.8209
0.908333,801.68,1518.0809
0.916666,814.39996,1526.341
0.924999,827.19,1534.601
0.933333,840.05,1542.861
0.941666,852.98,1551.121
0.949999,865.97,1559.381
0.958333,879.02997,1567.641
0.966665,892.16,1575.901
0.975001,905.36,1584.1609
0.983333,918.63,1592.4209
0.991667,931.97,1600.6809
1,945.38,1608.9409
1.008333,958.86,1617.2009
1.016667,972.41,1625.4609
1.025,986.01996,1633.721
1.033333,999.69995,1641.981
1.041666,1013.44995,1650.241
1.049999,1027.27,1658.501
1.058333,1041.16,1666.761
1.066666,1055.12,1675.021
1.074999,1069.15,1683.2809
1.083333,1083.25,1691.5409
1.091665,1097.41,1699.8009
1.100001,1111.64,1708.0609
1.108333,1125.94,1716.3209
1.116667,1140.3099,1724.5809
1.125,1154.75,1732.841
1.133333,1169.26,1741.101
1.141667,1183.84,1749.361
1.15,1198.49,1757.621
1.158333,1213.21,1765.881
1.166666,1227.99,1774.141
1.174999,1242.84,1782.4009
1.183333,1257.76,1790.6609
1.191666,1272.75,1798.9209
1.199999,1287.8099,1807.1809
1.208333,1302.94,1815.4409
1.216665,1318.14,1823.7009
1.225001,1333.4099,1831.9609
1.233333,1348.75,1840.221
1.241667,1364.15,1848.481
1.25,1379.62,1856.741
1.258333,1395.1599,1865.001
1.266667,1410.77,1873.261
1.275,1426.45,1881.5209
1.283333,1442.2,1889.7809
1.291666,1458.02,1898.0409
1.299999,1473.9099,1906.3009
1.308333,1489.86,1914.5609
