time,car_pos_x,car_pos_y,car_pos_z,car_vel_x,car_vel_y,car_vel_z,car_pitch,car_yaw,car_roll,car_angvel_x,car_angvel_y,car_angvel_z
0,802.2600098,0,17.01000023,0,0,0.2109999955,0,0,0,0,0,0
0.03332519531,0,0,2.460000038,0,0,295.6910095,0,0,0,0,0,0
0.05000305176,0,0,7.489999771,0,0,303.7309875,0,0,0,0,0,0
0.06666564942,0,0,12.64999962,0,0,311.7709961,0,0,0,0,0,0
0.08332824707,0,0,17.94999886,0,0,319.8110046,0,0,0,0,0,0
0.1083374023,0,0,26.14999962,0,0,331.8710022,0,0,0,0,0,0
0.1166687012,0,0,28.94999886,0,0,335.8909912,0,0,0,0,0,0
0.1333312988,0,0,34.64999771,0,0,343.9309998,0,0,0,0,0,0
0.1499938965,0,0,40.54999924,0,0,357.3909912,0,0,0,0,0,0
0.1666717529,0,0,46.36999893,0,0,346.5509949,0,0,0,0,0,0
0.1916656494,0,0,54.75999832,0,0,330.2909851,0,0,0,0,0,0
0.1999969482,0,0,57.46999741,0,0,324.8710022,0,0,0,0,0,0
0.2166595459,8.340000153,0,62.75,500.0010071,0,314.0310059,-0.04630704597,0,0,0,3.688509941,0
0.2333374023,16.68000031,0,67.84999847,500.0010071,0,303.1910095,-0.1518640965,0,0,0,5.499909878,0
0.25,25.01999855,0,72.76999664,500.0010071,0,292.3510132,-0.2724733353,0,0,0,5.499909878,0
0.2749938965,37.52999878,0,79.80999756,500.0010071,0,276.0910034,-0.4532913268,0,0,0,5.499909878,0
0.2833251953,41.70000076,0,82.06999969,500.0010071,0,270.67099,-0.5135959387,0,0,0,5.499909878,0
0.3000030518,50.0399971,0,86.44999695,500.0010071,0,259.8309937,-0.6342051625,0,0,0,5.499909878,0
0.3333282471,66.72000122,0,94.65000153,500.0010071,0,238.151001,-0.8753277659,0,0,0,5.500010014,0
0.3583374023,79.22999573,0,99.66999817,500.0010071,0,142.3310089,-1.056241632,0,0,0,5.499909878,0
0.3666687012,83.40000153,0,100.4000015,500.0010071,0,87.09099579,-1.116546273,0,0,0,5.499909878,0
0.3833312988,91.73999786,0,101.0599976,500.0010071,0,27.85099792,-1.237059593,0,0,0,5.500010014,0
0.3999938965,100.0799942,0,101.1899948,500.0010071,0,2.820999861,-1.357668877,0,0,0,5.500010014,0
0.4166717529,108.4199982,0,101.0999985,500.0010071,0,-7.740999699,-1.478182197,0,0,0,5.499909878,0
0.4416656494,120.9300003,0,100.7999954,500.0010071,0,-13.34100056,-1.482400656,0,0,0,5.500010014,0
0.4499969482,125.0999985,0,100.6800003,500.0010071,0,-14.08100033,-1.422191978,0,0,0,5.499909878,0
0.4666595459,133.4400024,0,100.4399948,500.0010071,0,-14.88100052,-1.301582694,0,0,0,5.499909878,0
0.4833374023,141.7799988,0,100.1800003,500.0010071,0,-15.21100044,-1.180877566,0,0,0,5.499909878,0
0.5,150.1199951,0,99.91999817,500.0010071,0,-15.36100006,-1.060460091,0,0,0,5.500010014,0
0.5249938965,162.6299896,0,99.52999878,500.0010071,0,-15.44099998,-0.8795462251,0,0,0,5.500010014,0
0.5333251953,166.8000031,0,99.40000153,500.0010071,0,-15.45100021,-0.819241643,0,0,0,5.500010014,0
0.5500030518,175.1399994,0,99.13999939,500.0010071,0,-15.45100021,-0.6987282634,0,0,0,5.499909878,0
0.5666656494,183.4799957,0,98.87999725,500.0010071,0,-15.45100021,-0.5780231357,0,0,0,5.499909878,0
0.5833282471,191.8199921,0,98.61999512,500.0010071,0,-15.45100021,-0.4575097561,0,0,0,5.500010014,0
0.6083374023,204.3300018,0,98.22999573,500.0010071,0,-15.45100021,-0.2766917944,0,0,0,5.499909878,0
0.6166687012,208.5,0,98.09999847,500.0010071,0,-15.45100021,-0.2163871676,0,0,0,5.500010014,0
0.6333312988,216.8399963,0,97.83999634,500.0010071,0,-15.45100021,-0.09568205476,0,0,0,5.499909878,0
0.6499938965,225.1799927,0,97.5799942,500.0010071,0,-15.45100021,0.02473543957,0,0,0,5.499909878,0
0.6666717529,233.519989,0,97.31999969,500.0010071,0,-15.45100021,0.1453446746,0,0,0,5.499909878,0
0.6916656494,246.0299988,0,96.93000031,500.0010071,0,-15.45100021,0.3261626661,0,0,0,5.499909878,0
0.6999969482,250.1999969,0,96.79999542,500.0010071,0,-15.45100021,0.386467278,0,0,0,5.500010014,0
0.7166595459,258.5400085,0,96.54000092,500.0010071,0,-15.45100021,0.5070765018,0,0,0,5.500010014,0
0.7333374023,266.8800049,0,96.27999878,500.0010071,0,-15.45100021,0.6276857853,0,0,0,5.499909878,0
0.75,275.2200012,0,96.01999664,500.0010071,0,-15.45100021,0.748103261,0,0,0,5.499909878,0
0.7749938965,287.7299805,0,95.62999725,500.0010071,0,-15.45100021,0.9291129708,0,0,0,5.499909878,0
0.7833251953,291.8999939,0,95.5,500.0010071,0,-15.45100021,0.9894176126,0,0,0,5.500010014,0
